ID;book_id;rating;user_id;isbn;description;num_pages;image_url;title;genres;review_text;Author
0;21343;5;250889;0787960756;In The Five Dysfunctions of a TeamPatrick Lencioni once again offers a leadership fable that is as enthralling and instructive as his first two bestselling books The Five Temptations of a CEOand The Four Obsessions of an Extraordinary Executive. This time he turns his keen intellect and storytelling power to the fascinating complex world of teams.Kathryn Petersen Decision Techs CEO faces the ultimate leadership crisis Uniting a team in such disarray that it threatens to bring down the entire company. Will she succeed Will she be fired Will the company fail Lencionis utterly gripping tale serves as a timeless reminder that leadership requires as much courage as it does insight.Throughout the story Lencioni reveals the five dysfunctions which go to the very heart of why teams even the best onesoften struggle. He outlines a powerful model and actionable steps that can be used to overcome these common hurdles and build a cohesive effective team. Just as with his other books Lencioni has written a compelling fable with a powerful yet deceptively simple message for all those who strive to be exceptional team leaders.;227;httpsimages.grassets.combooks1400841022m21343.jpg;The Five Dysfunctions of a Team A Leadership Fable;nonfiction;Simply this book is Must read books list I liked the story way to write the book and the simple make Sense model of the five dysfunctions of teams  I already recommended this books to my friends its must read for every one  I will recommend that the reader should be ware of Tuckmans stages of group development which will put this book in the right context;Patrick Lencioni
1;2657;2;215242;0061120081;The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Awardwinning film also a classic.Compassionate dramatic and deeply moving To Kill A Mockingbird takes readers to the roots of human behavior  to innocence and experience kindness and cruelty love and hatred humor and pathos. Now with over 18 million copies in print and translated into forty languages this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.;324;httpsimages.grassets.combooks1361975680m2657.jpg;To Kill a Mockingbird;fiction;khtby khh drbrh y bkhshy z trykh amrykhy qdym bshh dr Hd khwdsh hm jlbh hm khsl khnndh  jlb hst chwn mtwjh myshy shbyh yn jrynt mnth njd prsty w qwm prsty twy yrn khwdmwn hm hst  mthl trkh w lr w rb khwzstny w ... khh mrdm ynh rw z khwdshwn jd mykhnn w yn twhynh w chqdr mytwnh fkhr mrdm dw mlt shbyh bh hm bshh mnth ykhy dr an hd qdym trykh amrykh (hd bwq) w ykhy hm dr hmyn Hwly shyd chsbydh shdh ly tkhst hy jkh hy qbylh y khshwrmn w yh trkhh w yh lrh w yh shyrzyh   mrG mqld r nkhshym  mrG mqld nmd mZlwmy bwd khh adm h bh dlyl njdsh bh w w Sdqtsh gwsh nddnd w ... tlkh bwd m qbl tml ...  khsl khnndh bwd chwn lqh y bh dbyt amrykh w trykhsh bh Swrt anchnn ndrm m yn khtb rzsh ykhbr khwndh shdn rw dsht ...;Harper Lee
2;6656;5;215242;0679433139;The Divine Comedy translated by Allen Mandelbaum begins in a shadowed forest on Good Friday in the year 1300. It proceeds on a journey that in its intense recreation of the depths and the heights of human experience has become the key with which Western civilization has sought to unlock the mystery of its own identity.Mandelbaums astonishingly Dantean translation which captures so much of the life of the original renders whole for us the masterpiece of that genius whom our greatest poets have recognized as a central model for all poets.This Everymans editioncontaining in one volume all three cantos Inferno Purgatorio and Paradisoincludes an introduction by Nobel Prizewinning poet Eugenio Montale a chronology notes and a bibliography. Also included are fortytwo drawings selected from Botticellis marvelous latefifteenthcentury series of illustrations.(Book Jacket Status Jacketed);798;httpss.grassets.comassetsnophotobook111x148bcc042a9c91a29c1d680899eff700a03.png;The Divine Comedy;poetry;khmdy lhy dnth khtby hst z shrw nwysndh dnth lygyry khh hrwqt mykhwnmsh mtwjh myshwm khh rzsh tkhrr r dshth khh bry brh khwndh shwd w bzhm dwstdshtny bshd  fylm hy zydy r b ydh grftn zyn khtb w y shrh khrdn bh n skhth nd w khtb fwq lldh qwy yst khh bh zbn khwd dnth nwshth shdh w z sfr khylysh bh dwzkh rwyt mykhnd w jd khh dywnh y yn khtbm;Dante Alighieri Allen Mandelbaum Eugenio Montale
3;157993;5;215242;0156012197;Moral allegory and spiritual autobiography The Little Prince is the most translated book in the French language. With a timeless charm it tells the story of a little boy who leaves the safety of his own tiny planet to travel the universe learning the vagaries of adult behaviour through a series of extraordinary encounters. His personal odyssey culminates in a voyage to Earth and further adventures.;93;httpsimages.grassets.combooks1367545443m157993.jpg;The Little Prince;children;yn khtb rw hm byd khwnd hm b Sdy shmlwy zyz shnyd  chqdr bh dlm nshst z wn khtb hyy hst khh twy mq dhhnm j grfth w frmwsh hm nmyshh;Antoine de SaintExupery Richard Howard Dom Marcos Barbosa Melina Karakosta
4;602657;5;215242;;rychrd bkh jntn r dr sl 1970 nwsht dstn mrG dryyy y khh nmy khwhd mthl bqyh y mrGn dryyy zndgy khnd my khwhd tndtr w bltr prwz khnd. m hmnwnsh tGyyr r dwst ndrnd w w r z jm khwd my rnnd. m bh rsty jntn tnh mndh st y mrGny khh w r rndnd srgdhsht yn mrG dryyy blnd prwz nzdykh chhl sl st khh mylywn h nfr r msHwr khwd khrdh st.;110;httpsimages.grassets.combooks1505485943m602657.jpg;جاناتان مرغ دریایی;fiction;shyfth y yn khtb shdm  khyly sdh w khwth b dstny shyryn w nmdyn shyd Hrf hyy rw zd khh qrn h pysh pymbrn sy mykhrdnd bh mrdm dwrh y khwdshwn yd bdn  nmd zybyy z tmm wjwd hy wj grfth w syrb nshdh m rshd khrdh y bwd khh hmchnn hm dr Hl rshdnd w bh dwr z mHdwdyt hyy khh jmh hshwn brshwn dr nZr mygyrh  prwz mykhnn w prwz rw hm bh shqsh yd mydn  bdwn hych dyy bdwn pdhyrsh ynkhh chyzy w y qdrty shbyh bh khd drnd ...hmh y wjwd h frtr z jsmnd m drgyr yn jsm hstnd w fqT tHml dydn t nwkh byny dnyy khwdshwn y shbyh prndgn dnyy jntn  nwkh bl hshwn rw drnd  khsh hmgy prwz rw yd bgyrym w bdsh bh mshtqnsh hm yd bdym ... khsh khmy mthl jntn by bkh w khnjkhw w b ngyzh w pr shwr w nshTsh w bh dwr z khwsth hy dnyyy w srgrm khnndh sh bwdym ....;Richard Bach fTmh mHmdy
5;1499952;5;215242;;When Jerusha Abbott an eighteenyearold girl living in an orphan asylum was told that a mysterious millionaire had agreed to pay for her education it was like a dream come true. For the first time in her life she had someone she could pretend was family. But everything was not perfect for he chose to remain anonymous and asked that she only write him concerning her progress in school. Who was this mysterious gentleman and would Jerusha ever meet him;249;httpsimages.grassets.combooks1339593021m1499952.jpg;DaddyLongLegs (DaddyLongLegs 1);fiction;bb lng drz ykh shhkhr mndgr w bdy bry hr nsly w bry hr sny hst;Jean Webster glnz nwydyn glnz nwydn jrj ptrwsy zhrh shkhwfndh zhrh shkhwfndh jrj pTrsy mhyn brzwyy
6;2025028;5;215242;1556433204;QuantumTouch is the touchbased healing technique that uses the chi of both practitioner and client bringing them into harmony to allow the body to heal itself. QuantumTouch differs from other healing techniques because it does not require long years of study and presents none of the common hurdles of understanding or application anyone can learn to use it to become a healer both of others and of self. In this new edition of his bestselling guide Richard Gordon leads the reader step by step clearly explaining how to use breathing and bodyfocusing techniques to raise ones energy levels. Once that is achieved the healer can correct posture and alignment reduce pain and inflammation help balance emotional distress and even heal pets. Above all QuantumTouch can be used in tandem with all other healing modalities including Western medicine and its efficacy has been attested to by physicians acupuncturists chiropractors and other healing professionals.;210;httpss.grassets.comassetsnophotobook111x148bcc042a9c91a29c1d680899eff700a03.png;QuantumTouch the Power to Heal;nonfiction;rychrd gwrdn ykhy z pyshgmn rSh y nrjy drmny  yn khtb jlb khh rwshyst rw bh swy dr hy shf an hm b nrjy dstn mn r slh pysh nwshth w smynrh w khls hy amwzshy zydy hm bry amwzsh HDwry trtyb ddh  rwshy drmnymkhml khh shyd dr btd ykh pwzkhnd bznym w z khnr khtb w tmryntsh rd shwym m bd b wlyn shfy sry bry mthl drd mwDy y dr znw nghn dr hy bht w shwkh w Hyrt rw bh swy m bz myshwd w tzh myfhmym hrchyzy rzsh ykhbr khwndn w tst khrdn w bd h tkhrr w tshnh y amwzsh byshtr shdnsh r drd w bry mn hm dsht w khwshbkhtnh khtb r khwb khwndm w tmryntsh r hm njm ddm w rwy sh chhr mwrd z Trfynm hm tst khrdm w mwfqyt amyz bwd... khwshHlm bd slh mTlh dr mwrd nrjy w rwsh hy drmnysh bh rwsh khwantwm tch br khwrdm w an r yd grftm w khrbrdsh r hm bh ynh dydm w mTmynm khh mjzt byshtry hm z an khwhm dyd ... pyshnhd mykhnm gr mthl mn shq tGyyr zndgy w sdh tr khrdnsh hstyd yn khtb w khtb rwsh pyshrfth sh khh nwshth y aln hrywt z shgrdn nwysndh y hmyn khtb hst r bkhwnyd w bh qdrt w srt yn rwsh w khmkh bh khwd w dygrn byfzyyd ... hr dw khtb twsT aqy frhd frwGmnd trjmh shdh w dr syt w khnl tlgrm yshn mwjwd hst ...;Richard  Gordon
7;3593503;5;215242;;Its been ten years since Mitch Albom first shared the wisdom of Morrie Schwartz with the world. Nowtwelve million copies laterin a new afterword Mitch Albom reflects again on the meaning of Morries life lessons and the gentle irrevocable impact of their Tuesday sessions all those years ago. . ._____Maybe it was a grandparent or a teacher or a colleague. Someone older patient and wise who understood you when you were young and searching helped you see the world as a more profound place gave you sound advice to help you make your way through it.For Mitch Albom that person was Morrie Schwartz his college professor from nearly twenty years ago.Maybe like Mitch you lost track of this mentor as you made your way and the insights faded and the world seemed colder. Wouldnt you like to see that person again ask the bigger questions that still haunt you receive wisdom for your busy life today the way you once did when you were youngerMitch Albom had that second chance. He rediscovered Morrie in the last months of the older mans life. Knowing he was dying Morrie visited with Mitch in his study every Tuesday just as they used to back in college. Their rekindled relationship turned into one final class lessons in how to live.;176;httpsimages.grassets.combooks1471281594m3593503.jpg;سه شنبه ها با موری;nonfiction;mwry dstn hm drd stywn hwkhyng r tHml mykhnd w lHZh bh lHZh bh mrg nzdykh myshwd m dydgh nsnysh bh mrg w wSyt hyy khh bry mych shgrd qdymy sh bh jy mygdhrd fwq lldh tryn khlm hst w bth myshwd dr khnr tlkhy mrg ahsth sh  shyryny dydgh nsny w wly ykh nsn mthl mwry dstn  zyr dndn mn khwnndh bnshynd w Hs khnm chqdr adm hy yngwnh r dwst drm khh t akhryn lHZh y mr myjngnd t fkhr mnfy w ys w n mydy bh nh Glbh nkhnd w b dsty pr w dly pr mhr bh mrHlh y dygr z zndgy qdm bgdhrnd w yn jhn w tn w gwsht w pwstshn r trkh khnnd w shyryn brwnd w mrdmy r hm shyfth y qyd w khlm w ngh shn bh zndgy khnnd  yn khtb r dwst dshtm chwn pdr bzrg khwd mn hm b wjwd srTny khh fljsh khrdh bwd w khry khrdh bwd khh dygr ny Hrkht ndsht bh zndgy mthl mwry yn dstn z hmyn zwyh ngh mykhrd w wqty rwHsh z bnd tnsh azd shd  wl gryh khrdm bd shd bwdm chwn shdy rwHsh r Hss mykhrdm  nh tnh mn blkhh tmm Trfynm hm hmyshh mygwynd khh pdr bzrgm shd w khwshbyn z yn dny rft w mrd  bzrgy bwd  ...ydsh grmy;Mitch Albom
8;3795832;2;215242;3423212276;no description;160;httpsimages.grassets.combooks1360052713m3795832.jpg;Hotel Mama Nesthocker Nervensägen und Neurosen;fiction;dr gdhshth bh khSwS dr khshwrhy Grby rsm br an bwd khh frzndn bh mHD rsydn bh sn blwG w pyn mdrsh  z wldynshn jd shdh w zndgy mstql khwd r aGz mygrdnd w tfq z yn bbt bh khwd my blydnd m dr sl hy khyr  wD khmy tGyyr khrdh st. nsl jdyd  bsyr mtwq shdh w mshkhlt qrn HDr yny bykhry w bHrn hy qtSdy w z hmh mhm tr  rftrhy ghgh nbkhrdnh w nmnsb wldyn  mn blwG dhhny w wqy frzndn shdh st . jwnn bly byst w Hty sy sl trjyH mydhnd b wldynshn zndgy khnnd . mdmy khh my twnnd z srwys htl mmn ldht bbrnd mjbwr nystnd khryh khnh bprdznd  lbs hyshn r bshwynd  Gdhyshn r khwdshn bpznd w ...  (z mqdmh mtrjm)  khtby drbrh y mkhlmh pdr w mdr h b frzndn by msywlyt w bzrgsl shn hst khh hnwz khh hnwzh b an sn w sl mthl bchh h rftr mykhnnd w dst z zndgy pdr w mdrshn brnmydrnd w awyzn bqy mymnnd  Hl b hr bHth w rftr Sb khwrd khny khh shd ...  yn khtb mytwnst bhtr trjmh bshh t Tnzsh Hs bshh w ynqdr bDy jhy wn Sb khwnndh rw khwrd nkhnh w z Tnzsh nyfth ;Elfriede Hammerl
9;11870085;5;215242;0525478817;There is an alternate cover edition .I fell in love the way you fall asleep slowly then all at once.Despite the tumorshrinking medical miracle that has bought her a few years Hazel has never been anything but terminal her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group Hazels story is about to be completely rewritten.Insightful bold irreverent and raw The Fault in Our Stars is awardwinning author John Greens most ambitious and heartbreaking work yet brilliantly exploring the funny thrilling and tragic business of being alive and in love.;313;httpsimages.grassets.combooks1360206420m11870085.jpg;The Fault in Our Stars;youngadult;b ynkhh b khwndnsh wy dydn fylmsh adm wq Gmgyn myshh wly dstn shqnh y khyly khSy bwd;John Green
